"","ym","temp"
"1",190101,-4.70967741935484
"2",190102,-2.08214285714286
"3",190103,5.83548387096774
"4",190104,11.65
"5",190105,16.8322580645161
"6",190106,21.0366666666667
"7",190107,22.3709677419355
"8",190108,20.7483870967742
"9",190109,15.9066666666667
"10",190110,12.5612903225806
"11",190111,4.65333333333333
"12",190112,4.2
"13",190201,3.38387096774194
"14",190202,2.76071428571429
"15",190203,5.33870967741935
"16",190204,10.5433333333333
"17",190205,12.5161290322581
"18",190206,18.5166666666667
"19",190207,20.2193548387097
"20",190208,21.1387096774194
"21",190209,16.15
"22",190210,10.8322580645161
"23",190211,2.35666666666667
"24",190212,-3.09354838709677
"25",190301,-0.493548387096774
"26",190302,4.62142857142857
"27",190303,8.98709677419355
"28",190304,8.98333333333333
"29",190305,16.3903225806452
"30",190306,18.96
"31",190307,20.8483870967742
"32",190308,20.3870967741935
"33",190309,16.8633333333333
"34",190310,11.9096774193548
"35",190311,6.83666666666667
"36",190312,2.58387096774194
"37",190401,-1.5258064516129
"38",190402,3.775
"39",190403,6.62258064516129
"40",190404,11.9033333333333
"41",190405,15.7548387096774
"42",190406,20.0466666666667
"43",190407,24.0096774193548
"44",190408,21.6806451612903
"45",190409,15.8766666666667
"46",190410,11.5548387096774
"47",190411,3.24
"48",190412,2.30967741935484
"49",190501,-3.14516129032258
"50",190502,1.73928571428571
"51",190503,7.12258064516129
"52",190504,9.48666666666667
"53",190505,16.3677419354839
"54",190506,20.4
"55",190507,23.658064516129
"56",190508,22.3806451612903
"57",190509,18.01
"58",190510,7.02903225806452
"59",190511,6.68333333333333
"60",190512,2.27741935483871
"61",190601,-0.112903225806452
"62",190602,2.67142857142857
"63",190603,6.11290322580645
"64",190604,12.2233333333333
"65",190605,17.1193548387097
"66",190606,19.1
"67",190607,21.6354838709677
"68",190608,20.2903225806452
"69",190609,15.2333333333333
"70",190610,11.0548387096774
"71",190611,8.30666666666667
"72",190612,-0.290322580645161
"73",190701,-1.69677419354839
"74",190702,-1.33571428571429
"75",190703,3.28709677419355
"76",190704,8.46333333333333
"77",190705,18.3064516129032
"78",190706,20.0833333333333
"79",190707,19.9193548387097
"80",190708,20.441935483871
"81",190709,16.6433333333333
"82",190710,15.9032258064516
"83",190711,4.63666666666667
"84",190712,2.95483870967742
"85",190801,-1.82903225806452
"86",190802,2.33214285714286
"87",190803,5.45483870967742
"88",190804,10.25
"89",190805,18.9354838709677
"90",190806,21.55
"91",190807,21.7548387096774
"92",190808,19.0516129032258
"93",190809,15.5866666666667
"94",190810,10.8645161290323
"95",190811,1.17333333333333
"96",190812,-0.0387096774193548
"97",190901,-2.36774193548387
"98",190902,-1.58214285714286
"99",190903,5.38064516129032
"100",190904,11.5466666666667
"101",190905,15.4322580645161
"102",190906,19.3733333333333
"103",190907,20.1483870967742
"104",190908,21.8516129032258
"105",190909,17.8066666666667
"106",190910,13.958064516129
"107",190911,4.64666666666667
"108",190912,3.86774193548387
"109",191001,1.52258064516129
"110",191002,5.28571428571429
"111",191003,7.45161290322581
"112",191004,10.8933333333333
"113",191005,16.0129032258065
"114",191006,19.8966666666667
"115",191007,20.3387096774194
"116",191008,20.1
"117",191009,14.3633333333333
"118",191010,10.1483870967742
"119",191011,3.8
"120",191012,3.47741935483871
"121",191101,0.941935483870968
"122",191102,-0.514285714285714
"123",191103,5.64193548387097
"124",191104,10.4033333333333
"125",191105,16.0193548387097
"126",191106,18.6166666666667
"127",191107,22.2516129032258
"128",191108,21.8161290322581
"129",191109,16.8366666666667
"130",191110,10.1774193548387
"131",191111,7.53333333333333
"132",191112,3.24516129032258
"133",191201,-3.3
"134",191202,2.46785714285714
"135",191203,7.80967741935484
"136",191204,8.84
"137",191205,15.1774193548387
"138",191206,19.84
"139",191207,21.0193548387097
"140",191208,18.5064516129032
"141",191209,11.4166666666667
"142",191210,8.19677419354839
"143",191211,2.34666666666667
"144",191212,2.22903225806452
"145",191301,-1.92258064516129
"146",191302,-0.367857142857143
"147",191303,7.9258064516129
"148",191304,10.2666666666667
"149",191305,15.2225806451613
"150",191306,18.69
"151",191307,18.0548387096774
"152",191308,18.3741935483871
"153",191309,15.9133333333333
"154",191310,10.3193548387097
"155",191311,6.68666666666667
"156",191312,2.56129032258065
"157",191401,-4.10967741935484
"158",191402,-1.24285714285714
"159",191403,6.76129032258064
"160",191404,12.99
"161",191405,15.5451612903226
"162",191406,18.3066666666667
"163",191407,19.7870967741935
"164",191408,19.8612903225806
"165",191409,14.4433333333333
"166",191410,9.65161290322581
"167",191411,3.37666666666667
"168",191412,3.22258064516129
"169",191501,2.1258064516129
"170",191502,1.99642857142857
"171",191503,3.46129032258065
"172",191504,10.8333333333333
"173",191505,16.9516129032258
"174",191506,20.3433333333333
"175",191507,20.1322580645161
"176",191508,18.3
"177",191509,13.44
"178",191510,9.46451612903226
"179",191511,3.15333333333333
"180",191512,5.00645161290323
"181",191601,3.68709677419355
"182",191602,1.18214285714286
"183",191603,9.15483870967742
"184",191604,11.2033333333333
"185",191605,16.0612903225806
"186",191606,17.5633333333333
"187",191607,20.8
"188",191608,19.6225806451613
"189",191609,14.7
"190",191610,10.3612903225806
"191",191611,6.72666666666667
"192",191612,4.3741935483871
"193",191701,0.441935483870968
"194",191702,-4.22142857142857
"195",191703,3.7741935483871
"196",191704,9.04
"197",191705,16.7322580645161
"198",191706,21.5566666666667
"199",191707,22.2451612903226
"200",191708,22.2516129032258
"201",191709,17.73
"202",191710,11.4064516129032
"203",191711,6.75
"204",191712,-1.08064516129032
"205",191801,0.987096774193548
